1952 5 0.5 4.5 12.1 
1875 9 9.4 16.4 20.3 
1864 3 -8.5 -5.5 4.4 
1898 1 -23.4 -23.4 -10.4 
2013 5 4.5 8.5 29.6 
1959 8 6.1 6.1 32.7 
1954 9 2.8 14.8 24.1 
1960 11 -14.5 4.5 7.1 
1998 2 -11.2 0.8 3.2 
1964 9 7.8 27.8 36.4 
1835 8 6.0 22.0 24.9 
1839 10 -2.0 14.0 15.1 
1918 1 -21.8 -13.8 4.4 
1983 3 -11.9 0.1 10.0 
1955 8 9.3 30.3 33.7 
2012 6 12.2 24.2 35.6 
1924 9 1.2 6.2 20.3 
1914 2 -12.1 5.9 7.4 
1910 4 -8.5 5.5 19.6 
1840 1 -24.4 -13.4 -6.8 
2006 3 -5.2 4.8 23.2 
1836 8 8.9 18.9 34.1 
1954 7 19.6 20.6 34.1 
1904 10 4.1 5.1 33.6 
1994 10 -5.0 8.0 24.3 
1958 11 -5.2 1.8 10.2 
1834 5 2.2 21.2 29.2 
2014 3 -10.4 -6.4 2.2 
1867 11 -14.3 -5.3 -3.8 
1934 3 -14.2 -6.2 0.1 
1967 7 16.4 26.4 29.6 
1882 9 2.3 12.3 20.1 
2011 10 -3.8 4.2 16.9 
1930 12 -14.7 -11.7 1.7 
1977 3 -6.2 -4.2 7.1 
1828 11 -12.8 9.2 12.8 
2014 2 -14.0 -5.0 2.3 
1858 10 1.3 9.3 24.4 
1951 8 8.5 15.5 27.5 
1981 11 -9.8 -3.8 3.4 
1983 1 -19.0 -19.0 3.7 
1852 10 -5.0 10.0 15.9 
1837 9 0.9 20.9 30.7 
1929 2 -16.9 -2.9 7.7 
1911 4 -2.0 10.0 16.8 
1910 5 0.2 10.2 28.3 
1830 6 11.8 19.8 37.7 
1951 2 -18.0 3.0 5.6 
1976 2 -19.4 -12.4 -0.5 
1845 12 -17.1 0.9 9.5 
1960 7 11.3 20.3 39.1 
1863 2 -11.3 -0.3 2.6 
1890 1 -22.6 -16.6 6.3 
1875 3 -7.2 2.8 10.9 
1846 8 13.0 24.0 34.8 
2005 7 13.5 25.5 27.9 
1861 1 -18.8 -16.8 -6.4 
1849 7 16.7 19.7 28.8 
1979 6 10.1 11.1 28.0 
1924 7 12.9 16.9 25.1 
1860 3 -9.5 11.5 18.5 
2019 4 -3.5 3.5 24.4 
1913 8 8.3 24.3 35.8 
2014 7 15.5 32.5 38.2 
1883 12 -15.1 -6.1 3.4 
1990 8 5.1 16.1 20.7 
1990 10 -1.1 5.9 18.4 
1954 5 5.4 8.4 22.9 
1917 7 17.1 25.1 30.2 
1942 10 0.7 0.7 27.4 
1914 1 -18.5 -7.5 0.4 
1902 9 2.4 9.4 15.1 
1914 5 9.4 19.4 35.7 
1899 10 -2.0 0.0 22.8 
1835 4 -5.1 -0.1 9.5 
1893 12 -13.9 6.1 8.0 
1920 5 1.3 7.3 23.2 
1831 11 -10.2 3.8 9.3 
1978 1 -15.3 7.7 10.2 
1854 10 -2.9 21.1 26.3 
1848 2 -13.2 -5.2 -1.2 
1979 3 -5.9 -1.9 15.3 
1928 2 -17.1 -12.1 -0.8 
2002 6 11.5 17.5 25.8 
1903 6 6.5 16.5 25.5 
1868 1 -19.8 -13.8 -2.4 
1904 11 -10.0 -6.0 5.7 
1926 3 -14.9 -6.9 4.6 
1971 1 -19.7 -13.7 1.3 
1902 6 14.0 21.0 28.6 
1942 3 -14.1 9.9 15.3 
1885 4 -9.7 11.3 13.2 
1999 5 0.9 6.9 11.5 
1989 12 -13.6 1.4 7.7 
1874 8 7.4 20.4 29.1 
2006 6 7.7 27.7 30.9 
1829 4 -8.7 -4.7 16.2 
1852 6 12.3 15.3 24.9 
1964 6 12.5 28.5 40.3 
1991 2 -18.5 -7.5 0.9 
1848 8 12.4 18.4 26.7 
1861 9 1.6 8.6 21.8 
1891 10 4.6 23.6 31.5 
1901 12 -10.8 -2.8 2.0 
1853 11 -8.8 -3.8 1.3 
1846 6 8.6 16.6 18.6 
1897 9 9.6 26.6 33.5 
1876 6 11.3 17.3 30.5 
1988 11 -11.2 -3.2 11.5 
1854 12 -16.2 -14.2 1.9 
1923 5 6.5 17.5 24.6 
1870 7 13.9 16.9 28.9 
1858 3 -12.7 1.3 9.2 
1832 5 9.4 18.4 23.2 
1920 9 5.1 12.1 18.9 
1908 8 7.0 18.0 36.4 
1998 5 9.8 25.8 31.0 
1969 7 11.2 22.2 28.3 
1986 4 -2.7 3.3 19.7 
1939 4 -1.0 20.0 21.7 
1840 12 -12.5 -8.5 7.0 
1874 2 -17.8 -5.8 1.8 
1871 1 -22.1 -15.1 -6.9 
1927 8 12.2 17.2 36.7 
1956 4 -1.8 7.2 17.0 
1905 4 -1.3 2.7 18.1 
1853 7 15.3 22.3 25.5 
1945 9 8.7 12.7 23.6 
1939 7 15.7 21.7 29.3 
1894 9 0.0 6.0 13.5 
1949 2 -18.8 -2.8 8.0 
1941 12 -11.7 12.3 14.0 
2015 12 -17.1 -16.1 1.5 
1894 3 -11.3 -8.3 12.7 
1909 3 -11.9 -1.9 4.5 
1864 8 7.7 11.7 29.7 
1956 1 -18.7 -0.7 11.2 
1930 9 7.2 11.2 29.1 
2010 9 4.0 31.0 33.7 
1938 8 6.3 21.3 23.8 
1870 11 -13.4 -9.4 6.6 
1966 12 -15.6 -12.6 0.6 
1824 10 4.4 21.4 30.2 
1870 3 -11.2 -4.2 11.7 
1881 10 4.0 16.0 25.7 
1895 4 -0.6 0.4 16.1 
1873 8 11.3 20.3 27.2 
1842 5 3.1 22.1 30.5 
1911 1 -18.8 -3.8 4.0 
1875 4 -10.0 2.0 3.8 
1899 5 7.5 21.5 35.1 
1962 12 -14.1 -13.1 -3.5 
1937 6 7.1 17.1 32.4 
1843 5 6.1 21.1 24.2 
1990 5 2.6 3.6 22.7 
1827 10 -1.9 -0.9 23.2 
1909 11 -14.8 -4.8 7.7 
1857 6 8.4 24.4 26.0 
1877 2 -11.8 7.2 11.3 
1902 5 6.0 7.0 27.6 
1945 2 -11.3 0.7 17.7 
1929 1 -24.1 -21.1 2.0 
1834 10 2.2 18.2 30.2 
1971 10 1.7 11.7 16.0 
1895 2 -10.9 0.1 12.0 
1879 4 -0.7 8.3 20.3 
1998 9 3.2 4.2 15.3 
1994 11 -7.1 3.9 13.2 
1880 9 7.2 17.2 23.1 
1953 3 -12.3 -2.3 8.9 
1902 2 -16.6 -12.6 8.1 
1879 2 -15.1 -1.1 2.2 
1950 11 -13.7 -4.7 -3.7 
1939 8 11.1 18.1 23.2 
1935 10 1.2 19.2 26.5 
1931 3 -5.4 4.6 9.4 
1890 8 8.1 32.1 35.2 
1840 5 1.9 15.9 22.1 
1935 7 16.3 17.3 30.0 
1844 9 6.9 23.9 33.1 
1889 4 -8.4 1.6 8.9 
1908 12 -19.9 -2.9 3.9 
1960 10 -3.1 6.9 26.8 
1967 2 -15.5 -5.5 -1.7 
1959 2 -18.3 -9.3 10.6 
1881 4 -7.8 -0.8 19.2 
1825 4 -9.8 -6.8 7.6 
1840 10 -3.3 -3.3 13.3 
